Hand Type,Player Hand,Dealer 2,Dealer 3,Dealer 4,Dealer 5,Dealer 6,Dealer 7,Dealer 8,Dealer 9,Dealer 10,Dealer Ace
Solid Hands,Solid Hand 19,"S, 0.3920","S, 0.4195","S, 0.4640","S, 0.4550","S, 0.5155","S, 0.6160","S, 0.5890","S, 0.3240","S, -0.0110","S, -0.0815"
Solid Hands,Solid Hand 18,"S, 0.1555","S, 0.1705","S, 0.2150","S, 0.2490","S, 0.2850","S, 0.4040","S, 0.1020","S, -0.1620","S, -0.2165","S, -0.3610"
Solid Hands,Solid Hand 17,"S, -0.1365","S, -0.1160","S, -0.0460","S, -0.0200","S, 0.0470","S, -0.0750","S, -0.3770","S, -0.4050","S, -0.4620","S, -0.6220"
Solid Hands,Solid Hand 16,"S, -0.2780","S, -0.2440","S, -0.2170","S, -0.1640","S, -0.1480","H, -0.3820","H, -0.4595","H, -0.5040","S, -0.5330","H, -0.6255"
Solid Hands,Solid Hand 15,"S, -0.2860","S, -0.2520","S, -0.2180","S, -0.1580","S, -0.1690","H, -0.3870","H, -0.3860","H, -0.4600","H, -0.5600","H, -0.5960"
Solid Hands,Solid Hand 14,"S, -0.2480","S, -0.2220","S, -0.1790","S, -0.1420","S, -0.1570","H, -0.3390","H, -0.3275","H, -0.4140","H, -0.4945","H, -0.5540"
Solid Hands,Solid Hand 13,"H, -0.2590","S, -0.1840","S, -0.2120","S, -0.1650","S, -0.1500","H, -0.2660","H, -0.3140","H, -0.3825","H, -0.4840","H, -0.5510"
Solid Hands,Solid Hand 12,"H, -0.2800","S, -0.2380","H, -0.1750","S, -0.1580","S, -0.1280","H, -0.2010","H, -0.3035","H, -0.3510","H, -0.4020","H, -0.5050"
Solid Hands,Solid Hand 11,"D, 0.5480","D, 0.5550","D, 0.6550","D, 0.6220","D, 0.6840","D, 0.4300","D, 0.4030","D, 0.2670","D, 0.0930","H, -0.0975"
Solid Hands,Solid Hand 10,"D, 0.3430","D, 0.4200","D, 0.5200","D, 0.5300","D, 0.5570","D, 0.3950","D, 0.2580","H, 0.1435","H, -0.0380","H, -0.2250"
Solid Hands,Solid Hand 9,"D, 0.1120","H, 0.1400","D, 0.2080","D, 0.2940","D, 0.3100","D, 0.2000","H, 0.1280","H, -0.0250","H, -0.1820","H, -0.3235"
Solid Hands,Solid Hand 8,"H, -0.0170","H, 0.0390","D, 0.0160","D, 0.1580","H, 0.1550","H, 0.1140","H, -0.0530","H, -0.2100","H, -0.3000","H, -0.3980"
Solid Hands,Solid Hand 7,"H, -0.0830","H, -0.0755","H, -0.0370","H, 0.0190","H, 0.0235","H, -0.0550","H, -0.2020","H, -0.2580","H, -0.3420","H, -0.4370"
Solid Hands,Solid Hand 6,"H, -0.1280","H, -0.0940","H, -0.0890","H, -0.0610","H, 0.0255","H, -0.1635","H, -0.2340","H, -0.3030","H, -0.3790","H, -0.4920"
Solid Hands,Solid Hand 5,"H, -0.0880","H, -0.0600","H, -0.0430","H, -0.0100","H, 0.0270","H, -0.0920","H, -0.1820","H, -0.2700","H, -0.3720","H, -0.4660"
Soft Hands,"Soft Hand A,2","D, -0.0140","H, 0.0140","D, 0.0860","H, 0.0580","D, 0.1040","H, 0.1350","H, 0.0610","H, -0.0720","H, -0.2150","H, -0.3070"
Soft Hands,"Soft Hand A,3","H, -0.0095","H, 0.0340","D, 0.0880","D, 0.1780","D, 0.2550","H, 0.1050","H, -0.0060","H, -0.1140","H, -0.2555","H, -0.3590"
Soft Hands,"Soft Hand A,4","H, -0.0160","H, 0.0100","H, 0.0440","D, 0.1180","D, 0.2340","H, 0.0540","H, -0.0215","H, -0.1150","H, -0.2320","H, -0.3640"
Soft Hands,"Soft Hand A,5","H, -0.0100","H, 0.0530","D, 0.1820","D, 0.1380","D, 0.1840","H, 0.0280","H, -0.0900","H, -0.1725","H, -0.2500","H, -0.3850"
Soft Hands,"Soft Hand A,6","D, 0.0670","D, 0.1140","D, 0.2220","D, 0.2220","D, 0.3420","H, 0.0375","H, -0.0540","H, -0.1455","H, -0.1870","H, -0.4085"
Soft Hands,"Soft Hand A,7","D, 0.1960","S, 0.1615","S, 0.2175","D, 0.2780","D, 0.5140","S, 0.4270","D, 0.1220","H, -0.0890","S, -0.2180","S, -0.3370"
Soft Hands,"Soft Hand A,8","S, 0.4230","S, 0.4090","D, 0.4140","S, 0.4620","S, 0.5205","S, 0.6295","S, 0.6470","S, 0.2900","S, -0.0475","S, -0.1360"
Soft Hands,"Soft Hand A,9","S, 0.6695","S, 0.6670","S, 0.7090","S, 0.7070","S, 0.6935","S, 0.7670","S, 0.8080","S, 0.7665","S, 0.4180","S, 0.1285"
Split Hands,"Split Hand 2,2","H, -0.1475","H, -0.0780","H, -0.0550","H, -0.0100","H, -0.0005","H, -0.0555","H, -0.1490","H, -0.2280","H, -0.3525","H, -0.4060"
Split Hands,"Split Hand 3,3","H, -0.1630","H, -0.0760","H, -0.0770","H, -0.0370","SP, 0.0140","H, -0.1535","H, -0.2250","H, -0.3150","H, -0.3860","H, -0.4890"
Split Hands,"Split Hand 4,4","H, -0.0160","H, 0.0250","H, 0.0225","D, 0.1620","H, 0.1370","H, 0.0860","H, -0.0400","H, -0.2000","H, -0.2870","H, -0.4165"
Split Hands,"Split Hand 5,5","D, 0.3840","D, 0.4520","D, 0.4890","D, 0.5000","D, 0.6670","D, 0.4600","D, 0.3360","D, 0.1860","H, -0.0210","H, -0.1750"
Split Hands,"Split Hand 6,6","H, -0.2350","S, -0.2300","S, -0.1700","SP, -0.0970","SP, -0.1510","H, -0.1920","H, -0.2535","H, -0.3245","H, -0.4115","H, -0.5020"
Split Hands,"Split Hand 7,7","SP, -0.2580","S, -0.2370","SP, -0.1215","SP, -0.0060","SP, 0.0550","H, -0.3280","H, -0.3470","H, -0.4350","H, -0.4790","H, -0.5805"
Split Hands,"Split Hand 8,8","SP, -0.0700","SP, 0.0510","SP, 0.0680","SP, 0.1800","SP, 0.3090","SP, 0.0300","SP, -0.1890","SP, -0.4640","S, -0.5200","H, -0.6410"
Split Hands,"Split Hand 9,9","SP, 0.1475","SP, 0.2060","SP, 0.2545","SP, 0.2990","S, 0.3220","S, 0.4245","S, 0.1220","SP, -0.1720","S, -0.2155","S, -0.3440"
Split Hands,"Split Hand 10,10","S, 0.6405","S, 0.6435","S, 0.6850","S, 0.6860","S, 0.6995","S, 0.8090","S, 0.8050","S, 0.7710","S, 0.4480","S, 0.1405"
