True Count, Frequency, Percentage
-15, 1, 0.00%
-14, 25, 0.00%
-13, 58, 0.01%
-12, 115, 0.01%
-11, 364, 0.04%
-10, 776, 0.08%
-9, 1297, 0.13%
-8, 2540, 0.25%
-7, 5120, 0.51%
-6, 9146, 0.91%
-5, 15031, 1.50%
-4, 26107, 2.61%
-3, 43887, 4.39%
-2, 74071, 7.41%
-1, 129371, 12.94%
0, 385841, 38.58%
1, 131112, 13.11%
2, 73796, 7.38%
3, 42718, 4.27%
4, 25164, 2.52%
5, 14643, 1.46%
6, 8633, 0.86%
7, 4767, 0.48%
8, 2697, 0.27%
9, 1353, 0.14%
10, 701, 0.07%
11, 381, 0.04%
12, 167, 0.02%
13, 65, 0.01%
14, 32, 0.00%
15, 16, 0.00%
16, 5, 0.00%

Percentage of Positive Counts: 30.63%
Percentage of Negative Counts: 30.79%
