Hand Type,Player Hand,Dealer 2,Dealer 3,Dealer 4,Dealer 5,Dealer 6,Dealer 7,Dealer 8,Dealer 9,Dealer 10,Dealer Ace
Solid Hands,Solid Hand 19,"S, 0.4440","S, 0.4250","S, 0.3970","S, 0.4130","S, 0.4895","S, 0.6260","S, 0.6050","S, 0.3000","S, -0.0015","S, -0.1155"
Solid Hands,Solid Hand 18,"S, 0.1315","S, 0.2140","S, 0.1945","S, 0.1760","S, 0.3155","S, 0.3640","S, 0.1130","S, -0.1600","S, -0.2030","S, -0.3660"
Solid Hands,Solid Hand 17,"S, -0.1620","S, -0.0900","S, -0.0720","S, -0.0485","S, 0.0085","S, -0.1305","S, -0.3480","S, -0.3960","S, -0.4120","S, -0.6320"
Solid Hands,Solid Hand 16,"S, -0.2520","S, -0.2280","S, -0.2250","S, -0.2030","S, -0.1740","H, -0.4020","H, -0.4470","H, -0.4810","H, -0.5350","H, -0.6155"
Solid Hands,Solid Hand 15,"S, -0.2830","S, -0.2900","S, -0.2320","S, -0.1480","S, -0.1570","H, -0.3390","H, -0.3860","H, -0.4130","H, -0.5100","H, -0.5800"
Solid Hands,Solid Hand 14,"S, -0.3290","S, -0.2260","S, -0.1900","S, -0.1600","S, -0.1680","H, -0.3260","H, -0.3920","H, -0.3940","H, -0.4485","H, -0.5455"
Solid Hands,Solid Hand 13,"H, -0.2660","S, -0.3040","S, -0.1760","S, -0.1560","S, -0.1620","H, -0.2915","H, -0.3390","H, -0.3610","H, -0.4360","H, -0.5400"
Solid Hands,Solid Hand 12,"H, -0.2770","H, -0.2070","S, -0.2300","S, -0.1600","S, -0.1730","H, -0.2770","H, -0.2470","H, -0.3690","H, -0.4135","H, -0.5120"
Solid Hands,Solid Hand 11,"D, 0.5960","D, 0.4770","D, 0.5800","D, 0.5770","D, 0.6630","D, 0.4720","D, 0.3800","D, 0.2660","H, 0.0590","H, -0.1210"
Solid Hands,Solid Hand 10,"D, 0.3720","D, 0.4140","D, 0.4980","D, 0.4520","D, 0.5610","D, 0.3360","D, 0.2650","H, 0.0880","H, -0.0700","H, -0.2350"
Solid Hands,Solid Hand 9,"H, 0.0135","D, 0.1350","D, 0.1360","D, 0.2820","D, 0.2680","D, 0.1680","H, 0.0680","H, -0.0825","H, -0.2200","H, -0.3775"
Solid Hands,Solid Hand 8,"H, -0.0890","H, -0.0630","H, -0.0480","D, 0.0340","D, 0.1080","H, -0.0140","H, -0.1615","H, -0.2820","H, -0.3380","H, -0.5040"
Solid Hands,Solid Hand 7,"H, -0.2185","H, -0.1960","H, -0.2200","H, -0.1545","H, -0.1480","H, -0.2100","H, -0.3225","H, -0.4185","H, -0.4340","H, -0.6195"
Solid Hands,Solid Hand 6,"H, -0.2420","H, -0.2360","H, -0.1970","H, -0.1140","S, -0.1580","H, -0.3210","H, -0.3785","H, -0.4130","H, -0.4675","H, -0.6250"
Solid Hands,Solid Hand 5,"H, -0.2490","H, -0.2265","S, -0.1780","S, -0.1360","H, -0.1145","H, -0.3260","H, -0.3320","H, -0.3945","H, -0.4450","H, -0.6360"
Soft Hands,"Soft Hand A,2","H, 0.0180","H, 0.0965","D, 0.0620","D, 0.1200","H, 0.1210","H, 0.0470","H, -0.0400","H, -0.1570","H, -0.2365","H, -0.3760"
Soft Hands,"Soft Hand A,3","H, -0.0420","H, 0.0160","H, 0.0190","D, 0.1300","D, 0.1640","H, -0.0190","H, -0.0690","H, -0.1150","H, -0.2210","H, -0.4100"
Soft Hands,"Soft Hand A,4","D, -0.0160","H, 0.0180","D, 0.0910","D, 0.1300","D, 0.2540","H, -0.0015","H, -0.1100","H, -0.1320","H, -0.2425","H, -0.4150"
Soft Hands,"Soft Hand A,5","H, -0.0360","H, -0.0070","H, 0.0030","D, 0.1280","D, 0.1610","H, -0.0500","H, -0.0720","H, -0.1470","H, -0.2335","H, -0.3660"
Soft Hands,"Soft Hand A,6","H, -0.0505","H, -0.0070","D, 0.1780","D, 0.1400","D, 0.2430","D, 0.0320","H, -0.0820","H, -0.1670","H, -0.2700","H, -0.4190"
Soft Hands,"Soft Hand A,7","D, 0.1660","D, 0.2300","D, 0.3240","D, 0.2470","S, 0.3270","S, 0.3975","S, 0.1270","H, -0.1175","S, -0.1900","S, -0.3530"
Soft Hands,"Soft Hand A,8","S, 0.3955","S, 0.4190","S, 0.4270","S, 0.4270","S, 0.5080","S, 0.6090","S, 0.6050","S, 0.2645","S, 0.0050","S, -0.0980"
Soft Hands,"Soft Hand A,9","S, 0.6390","S, 0.6665","S, 0.6610","S, 0.6960","S, 0.7340","S, 0.7885","S, 0.7890","S, 0.7940","S, 0.4620","S, 0.1835"
Split Hands,"Split Hand 2,2","H, -0.2200","H, -0.2430","H, -0.1580","H, -0.1350","H, -0.1390","H, -0.2740","H, -0.3260","H, -0.4005","H, -0.4440","H, -0.6450"
Split Hands,"Split Hand 3,3","S, -0.2800","H, -0.2160","H, -0.2160","S, -0.1820","S, -0.0980","H, -0.3070","H, -0.2760","H, -0.3850","H, -0.4700","H, -0.6040"
Split Hands,"Split Hand 4,4","H, -0.0840","H, -0.0425","H, -0.0390","D, 0.0960","H, 0.0420","H, -0.0150","H, -0.1375","H, -0.2690","H, -0.3620","H, -0.5070"
Split Hands,"Split Hand 5,5","D, 0.3400","D, 0.3260","D, 0.5260","D, 0.4720","D, 0.5420","D, 0.3470","D, 0.2540","D, 0.2190","H, -0.0290","H, -0.2925"
Split Hands,"Split Hand 6,6","S, -0.2470","H, -0.2290","S, -0.2060","S, -0.1690","S, -0.1440","H, -0.2190","H, -0.2550","H, -0.3600","H, -0.4040","H, -0.5410"
Split Hands,"Split Hand 7,7","S, -0.3360","S, -0.2340","S, -0.2320","S, -0.1360","S, -0.1720","H, -0.3380","H, -0.3755","H, -0.4025","H, -0.4735","H, -0.5950"
Split Hands,"Split Hand 8,8","SP, -0.1755","SP, -0.1590","SP, -0.0930","SP, -0.0400","SP, 0.0985","SP, -0.1750","SP, -0.3950","H, -0.4660","S, -0.5490","H, -0.6515"
Split Hands,"Split Hand 9,9","S, 0.1760","S, 0.1790","S, 0.1905","S, 0.2400","S, 0.3080","S, 0.3970","S, 0.1150","S, -0.1470","S, -0.1970","S, -0.3155"
Split Hands,"Split Hand 10,10","S, 0.6370","S, 0.6480","S, 0.6705","S, 0.6510","S, 0.7085","S, 0.7780","S, 0.8145","S, 0.7640","S, 0.4230","S, 0.1895"
