Hand Type,Player Hand,Dealer 2,Dealer 3,Dealer 4,Dealer 5,Dealer 6,Dealer 7,Dealer 8,Dealer 9,Dealer 10,Dealer Ace
Solid Hands,Solid Hand 19,"S, 0.3970","S, 0.4345","S, 0.4335","S, 0.4425","S, 0.5330","S, 0.6360","S, 0.6270","S, 0.3085","S, -0.0200","S, -0.1090"
Solid Hands,Solid Hand 18,"S, 0.1270","S, 0.1505","S, 0.1980","S, 0.2550","S, 0.3020","S, 0.4065","S, 0.1010","S, -0.1795","S, -0.2235","S, -0.3855"
Solid Hands,Solid Hand 17,"S, -0.1470","S, -0.0850","S, -0.0550","S, 0.0040","S, 0.0210","S, -0.0880","S, -0.3680","S, -0.3930","S, -0.4725","S, -0.6370"
Solid Hands,Solid Hand 16,"S, -0.3180","S, -0.2360","S, -0.2200","S, -0.1100","S, -0.1160","H, -0.4350","H, -0.4595","H, -0.4990","S, -0.5720","H, -0.6390"
Solid Hands,Solid Hand 15,"S, -0.2580","S, -0.2260","S, -0.1620","S, -0.1930","S, -0.1320","H, -0.3450","H, -0.4305","H, -0.4420","H, -0.5320","H, -0.6105"
Solid Hands,Solid Hand 14,"S, -0.2550","S, -0.2160","S, -0.2060","S, -0.1140","S, -0.0780","H, -0.3305","H, -0.3820","H, -0.4285","H, -0.4855","H, -0.5800"
Solid Hands,Solid Hand 13,"S, -0.2600","S, -0.2430","S, -0.1230","S, -0.1500","S, -0.1140","H, -0.2370","H, -0.3100","H, -0.3750","H, -0.4510","H, -0.5560"
Solid Hands,Solid Hand 12,"H, -0.2465","H, -0.1875","S, -0.1820","S, -0.1100","S, -0.1360","H, -0.2235","H, -0.2835","H, -0.3135","H, -0.3840","H, -0.4960"
Solid Hands,Solid Hand 11,"D, 0.5660","D, 0.5470","D, 0.6460","D, 0.6300","D, 0.8080","D, 0.5020","D, 0.3600","D, 0.3020","H, 0.1110","H, -0.0825"
Solid Hands,Solid Hand 10,"D, 0.3880","D, 0.3900","D, 0.5590","D, 0.5540","D, 0.6830","D, 0.4180","D, 0.3290","D, 0.2180","H, -0.0270","H, -0.2170"
Solid Hands,Solid Hand 9,"H, 0.0550","D, 0.2020","H, 0.1810","D, 0.2880","D, 0.3830","H, 0.2160","H, 0.1260","H, -0.0530","H, -0.2605","H, -0.2895"
Solid Hands,Solid Hand 8,"H, 0.0420","H, -0.0020","H, 0.0540","H, 0.1260","H, 0.1920","H, 0.1160","H, -0.0500","H, -0.1710","H, -0.2940","H, -0.4110"
Solid Hands,Solid Hand 7,"H, -0.0740","H, -0.0455","H, -0.0140","H, 0.0280","H, 0.0685","H, -0.0630","H, -0.2295","H, -0.2680","H, -0.3480","H, -0.4820"
Solid Hands,Solid Hand 6,"H, -0.1410","H, -0.0790","H, -0.0620","H, -0.0140","H, 0.0290","H, -0.1445","H, -0.2485","H, -0.3320","H, -0.3850","H, -0.4845"
Solid Hands,Solid Hand 5,"H, -0.1140","H, -0.0750","H, -0.0410","H, 0.0040","H, 0.0010","H, -0.0740","H, -0.1700","H, -0.2750","H, -0.4060","H, -0.4660"
Soft Hands,"Soft Hand A,2","H, 0.0370","D, 0.0600","H, 0.0400","D, 0.1380","D, 0.2340","H, 0.1410","H, 0.0260","H, -0.1035","H, -0.2080","H, -0.3170"
Soft Hands,"Soft Hand A,3","H, -0.0050","D, -0.0020","D, 0.0820","D, 0.1510","D, 0.1650","H, 0.0550","H, -0.0210","H, -0.1320","H, -0.2300","H, -0.3040"
Soft Hands,"Soft Hand A,4","H, -0.0180","D, 0.0560","H, 0.0515","D, 0.1200","D, 0.2280","H, 0.0140","H, -0.0490","H, -0.1020","H, -0.2835","H, -0.3630"
Soft Hands,"Soft Hand A,5","D, 0.0360","D, 0.0000","D, 0.1720","D, 0.2160","D, 0.1970","H, 0.0155","H, -0.0730","H, -0.1520","H, -0.2765","H, -0.3890"
Soft Hands,"Soft Hand A,6","D, 0.0330","D, 0.0950","D, 0.1530","D, 0.1400","D, 0.2860","H, 0.0735","H, -0.0680","H, -0.1125","H, -0.2710","H, -0.3700"
Soft Hands,"Soft Hand A,7","D, 0.2240","D, 0.2460","D, 0.2870","D, 0.3920","D, 0.4970","S, 0.4180","S, 0.1120","H, -0.1125","H, -0.1830","H, -0.3270"
Soft Hands,"Soft Hand A,8","S, 0.3740","S, 0.4740","S, 0.4810","S, 0.4650","S, 0.5350","S, 0.6130","S, 0.5995","S, 0.3200","S, -0.0090","S, -0.1030"
Soft Hands,"Soft Hand A,9","S, 0.6605","S, 0.6600","D, 0.6160","S, 0.6830","S, 0.7260","S, 0.7880","S, 0.8075","S, 0.7890","S, 0.4590","S, 0.1340"
Split Hands,"Split Hand 2,2","H, -0.0820","H, -0.0490","H, -0.0535","H, -0.0070","H, 0.0410","H, -0.0850","H, -0.1555","H, -0.2655","H, -0.3170","H, -0.4575"
Split Hands,"Split Hand 3,3","H, -0.1330","H, -0.0630","H, -0.0940","SP, -0.0300","H, 0.0000","H, -0.1405","H, -0.1970","H, -0.3110","H, -0.4265","H, -0.4940"
Split Hands,"Split Hand 4,4","H, 0.0045","H, 0.0225","H, 0.0785","D, 0.0620","D, 0.1700","H, 0.1080","H, -0.0325","H, -0.1750","H, -0.3140","H, -0.4220"
Split Hands,"Split Hand 5,5","D, 0.4440","D, 0.4840","D, 0.5010","D, 0.5290","D, 0.6640","D, 0.4880","H, 0.2110","H, 0.1570","H, -0.0040","H, -0.2205"
Split Hands,"Split Hand 6,6","H, -0.2480","SP, -0.1800","SP, -0.1880","SP, -0.0400","SP, 0.0070","H, -0.1890","H, -0.2500","H, -0.3310","H, -0.3885","H, -0.5340"
Split Hands,"Split Hand 7,7","S, -0.2860","SP, -0.1020","SP, -0.0370","SP, 0.0865","SP, 0.1135","SP, -0.2160","H, -0.3580","H, -0.4200","H, -0.5010","H, -0.5760"
Split Hands,"Split Hand 8,8","SP, -0.0515","SP, 0.1870","SP, 0.0710","SP, 0.2560","SP, 0.1680","SP, 0.1600","SP, -0.2355","SP, -0.4700","S, -0.5560","H, -0.6205"
Split Hands,"Split Hand 9,9","S, 0.1455","S, 0.1740","SP, 0.2345","SP, 0.3550","SP, 0.4145","S, 0.4300","SP, 0.1510","S, -0.1610","S, -0.2280","S, -0.3980"
Split Hands,"Split Hand 10,10","S, 0.6600","S, 0.6830","S, 0.6640","S, 0.6900","S, 0.7065","S, 0.7880","S, 0.7900","S, 0.7650","S, 0.4165","S, 0.1725"
